"","GENE_SYMBOL","GSM1443061","GSM1443062","GSM1443063","GSM1443064","GSM1443065","GSM1443066","Tetanis_Means"
"NUDT18","NUDT18",0.41,0.52,0.41,0.52,0.68,0.32,0.476666666666667
"FOXG1","FOXG1",0.17,0.12,0.3,0.63,0.71,0.13,0.343333333333333
"LRRC61","LRRC61",3016414,6029773,2568839,4006246,24241167,1034893,6816222
"PDPN","PDPN",0.03,0.04,0.05,0.08,0.07,0.11,0.0633333333333333
"FGF5","FGF5",0.03,0.04,0.05,0.08,0.12,0.11,0.0716666666666667
"CTSW","CTSW",0.44,0.53,3918833,0.91,4779768,0.36,1449767.20666667
"C14orf166","C14orf166",52229925,19364481,24857135,293255913,174375178,98402880,110414252
"CCNA2","CCNA2",7319566,38749834,0.13,0.14,20568623,120491871,31188315.7116667
"SORBS1","SORBS1",0.03,0.04,0.13,0.08,0.07,0.11,0.0766666666666667
"OFCC1","OFCC1",0.07,0.04,0.15,0.08,0.27,0.11,0.12
"PRKCE","PRKCE",0.06,0.17,0.06,0.08,0.08,0.11,0.0933333333333333
"LIN7B","LIN7B",0.14,2887596,4405334,0.47,0.4,0.11,1215488.52
"TARBP2","TARBP2",12712627,11548414,11751519,8892191,16672599,6137156,11285751
"ZNF181","ZNF181",0.09,0.04,0.06,0.08,0.08,0.28,0.105
"POLH","POLH",1655955,0.21,0.2,0.08,0.25,0.13,275992.645
"MBTPS1","MBTPS1",0.4,12153300,5449952,27976379,54448510,20740607,20128124.7333333
"DPP6","DPP6",1365692,0.33,0.34,0.14,0.08,0.15,227615.506666667
"CLEC2D","CLEC2D",0.03,0.04,0.06,0.08,0.08,6581561,1096926.88166667
"LOC114227","LOC114227",0.29,0.04,0.06,0.08,0.13,1048595,174765.933333333
"LHFPL1","LHFPL1",0.08,0.07,0.06,0.08,0.1,0.11,0.0833333333333333
"TP53I11","TP53I11",2513630,0.67,35715471,0.76,0.16,0.26,6371517.14166667
"BCAP31","BCAP31",28241857,8312798,45844324,261448212,236795408,44646370,104214828.166667
"TRPM1","TRPM1",0.16,0.09,0.28,0.23,0.26,0.31,0.221666666666667
"MBOAT1","MBOAT1",0.04,0.23,0.06,0.08,4959285,0.12,826547.588333333
"HNRNPU","HNRNPU",81231551,295310294,287935508,832901816,1040854924,671480703,534952466
"SHMT1","SHMT1",1657145,0.04,0.05,0.09,0.09,7010526,1444611.87833333
"MXRA7","MXRA7",0.1,9859611,2100852,0.13,230585184,0.97,40424274.7
"MAGI1","MAGI1",0.03,0.04,0.05,0.09,0.09,0.1,0.0666666666666667
"DFNB31","DFNB31",9714774,9918584,20527324,9612833,17554687,8217662,12590977.3333333
"C16orf57","C16orf57",1550969,0.62,0.87,0.61,1063519,0.17,435748.378333333
"MGC16385","MGC16385",2578015,0.15,0.2,0.91,0.43,0.18,429669.478333333
"PTGIS","PTGIS",0.55,0.49,0.29,0.49,0.32,0.42,0.426666666666667
"ACPT","ACPT",2829618,4344783,3612474,4176690,2508279,1260576,3122070
"CKMT1A","CKMT1A",13442454,1507237,2146641,4009211,1426915,0.35,3755409.725
"TUBGCP5","TUBGCP5",0.82,4312908,0.33,0.43,0.32,7544352,1976210.31666667
"KIT","KIT",0.18,0.14,0.33,0.3,0.29,0.15,0.231666666666667
"THSD4","THSD4",0.13,0.1,1756954,1211518,7684605,0.1,1775512.88833333
"ASB4","ASB4",1199415,1271984,1104944,1067479,0.08,0.32,773970.4
"ZKSCAN5","ZKSCAN5",0.03,10113211,0.05,0.12,0.08,2233384,2057765.88
"MTHFS","MTHFS",4304446,1378793,2042008,1024798,2770412,0.49,1920076.24833333
"WNK2","WNK2",1120732,1421626,1863804,1018373,1303615,0.86,1121358.47666667
"ZC3H11A","ZC3H11A",6389774,2323810,20015805,0.08,4642409,18715085,8681147.18
"RQCD1","RQCD1",17930905,55644428,0.05,0.11,31267693,67152871,28665982.86
"ITGAE","ITGAE",0.03,11908718,11807659,0.15,0.08,17755535,6911985.37666667
"FAM175A","FAM175A",0.83,0.35,0.05,2712672,0.08,3414751,1021237.385
"TOR2A","TOR2A",4042073,2637578,19829651,3014011,3054368,0.98,5429613.66333333
"RAG1AP1","RAG1AP1",0.49,1633074,42249364,27266903,113936109,33545661,36438518.5816667
"PAX8","PAX8",7119299,12584430,14979445,17437593,14038472,3764681,11653986.6666667
"LCOR","LCOR",0.03,0.04,0.05,0.08,0.08,0.1,0.0633333333333333
"CHD2","CHD2",0.07,0.04,0.08,0.12,0.09,0.1,0.0833333333333333
"LRRC4C","LRRC4C",0.76,0.78,1262783,1123984,1258322,0.75,607515.215
"CAPS","CAPS",0.19,64271443,0.34,0.26,0.29,3626968,11316402.0133333
"TCP1","TCP1",5145332,0.8,1336893,69156716,15094442,22182876,18819376.6333333
"ZNF383","ZNF383",0.06,0.04,0.21,0.08,0.17,5246665,874444.26
"CTNNA2","CTNNA2",0.04,0.04,0.05,0.08,0.07,0.11,0.065
"LILRA4","LILRA4",14456474,13038172,6538111,9874931,33486866,1415466,13135003.3333333
"U2AF1","U2AF1",124316162,177614619,107122734,453048323,301683301,36704647,200081631
"MRPL42P5","MRPL42P5",0.53,0.52,0.15,0.17,0.2,5707846,951307.928333333
"LOC731275","LOC731275",44293831,59733165,83104658,209561515,136054042,10424173,90528564
"MTA3","MTA3",2080492,20334795,12986402,101077317,1153341,2653219,23380927.6666667
"C22orf33","C22orf33",0.17,0.09,0.29,0.08,0.19,0.16,0.163333333333333
"SCUBE1","SCUBE1",6028686,3898163,14367642,16290199,33282024,0.18,12311119.03
"MED8","MED8",1848006,23149722,1822112,0.49,0.17,33965740,10130930.11
"RNF186","RNF186",8952397,6609229,6121339,9987462,6531194,2052481,6709017
"TMEM167A","TMEM167A",18618259,55734155,86472520,5025501,9186926,65083938,40020216.5
"TMEM167B","TMEM167B",0.48,1943232,2304671,14037496,22190913,5271299,7624601.91333333
"ANKRD11","ANKRD11",0.25,0.22,2527560,0.56,0.42,0.5,421260.325
"EXOC3","EXOC3",0.21,3179601,5092897,56019622,178872889,33650474,46135913.8683333
"P2RX4","P2RX4",0.69,0.19,4336110,181353644,7787004,63071417,42758029.3133333
"RC3H2","RC3H2",2282232,0.07,0.06,7028793,0.12,6626358,2656230.54166667
"MARCH4","MARCH4",0.03,0.04,0.06,0.08,0.08,0.11,0.0666666666666667
"KCNE1L","KCNE1L",0.15,0.14,0.27,0.15,0.36,0.18,0.208333333333333
"PMPCA","PMPCA",11587252,0.43,3865231,0.34,90134343,0.54,17597804.5516667
"MPEG1","MPEG1",0.03,0.04,0.06,0.08,0.21,0.11,0.0883333333333333
"CLN3","CLN3",5145575,60394903,6130958,3486906,29807847,8134062,18850041.8333333
"PLCH2","PLCH2",0.03,0.07,0.06,0.08,0.16,0.24,0.106666666666667
"MRPS12","MRPS12",11011387,17400265,5355027,6353868,108365011,11765870,26708571.3333333
"A4GNT","A4GNT",1592543,1109777,0.28,2843201,1673874,0.66,1203232.65666667
"ARCN1","ARCN1",25483363,45026188,217521476,209676508,472955552,31159444,166970421.833333
"KCNMA1","KCNMA1",0.03,0.04,0.05,0.09,0.19,0.16,0.0933333333333333
"TMEM38B","TMEM38B",0.03,0.04,0.14,0.09,1359330,1207036,427727.716666667
"PNLIPRP1","PNLIPRP1",0.65,0.33,0.34,0.99,0.66,1021148,170191.828333333
"KRT12","KRT12",0.03,0.04,0.08,0.09,0.09,0.1,0.0716666666666667
"IL8RBP","IL8RBP",2439070,0.49,0.4,0.6,0.25,0.1,406511.973333333
"PLN","PLN",0.03,0.04,0.05,0.09,0.09,0.1,0.0666666666666667
"ARID5B","ARID5B",0.06,0.04,0.05,0.09,0.11,0.1,0.075
"LOC100134331","LOC100134331",556389839,1264773996,1636780368,2525123926,3072827167,1778177843,1805678856.5
"C1orf96","C1orf96",0.33,0.53,0.39,22792891,1963850,0.71,4126123.82666667
"OAZ1","OAZ1",65945133,148782459,182360129,540927450,161218603,57156158,192731655.333333
"STRA13","STRA13",1489187,15139041,15191669,24882029,3335141,11289776,11887807.1666667
"C2orf79","C2orf79",1905437,4908082,1417854,144748485,253031347,0.23,67668534.205
"LOC100128398","LOC100128398",0.08,0.04,0.05,0.09,0.08,0.1,0.0733333333333333
"GEMIN5","GEMIN5",1243599,19891603,0.33,1021889,0.36,29929780,8681145.28166667
"EBNA1BP2","EBNA1BP2",0.84,3688548,0.33,0.27,0.55,41346460,7505834.99833333
"DRD3","DRD3",13168137,14442661,11963017,9862272,13956248,1680562,10845482.8333333
"MET","MET",0.5,0.27,0.09,0.17,0.29,0.1,0.236666666666667
"MARCH3","MARCH3",0.03,0.04,0.06,0.08,0.08,0.1,0.065
"GARNL3","GARNL3",0.03,0.04,0.05,0.08,0.08,0.1,0.0633333333333333
"C4orf42","C4orf42",150583929,260930160,284804265,314451594,294108374,215229279,253351266.833333
"CD40","CD40",5300180,13323473,8945165,6453143,5835383,1466969,6887385.5
"C10orf10","C10orf10",5458973,3416288,1443211,1772177,6697521,0.29,3131361.715
"RABGAP1L","RABGAP1L",1539969,1497408,0.05,21388451,0.08,7360678,5297751.02166667
"SNAPC3","SNAPC3",5348430,0.08,1366209,0.83,3528836,2865810,2184880.985
"ZMIZ1","ZMIZ1",3201421,13921726,11078949,23823135,2261618,1324506,9268559.16666667
"AGPAT2","AGPAT2",4426019,7705061,1951364,38426234,7647499,0.45,10026029.575
"RNF216L","RNF216L",11166227,0.48,0.54,0.67,0.17,9885421,3508608.31
"LOC100128140","LOC100128140",150255478,196312735,271576795,504936194,679071454,483301866,380909087
"RTP1","RTP1",0.07,0.06,0.14,0.49,0.23,0.13,0.186666666666667
"TMEM146","TMEM146",0.29,0.49,0.93,1565569,2247612,0.11,635530.47
"MTRF1L","MTRF1L",3178111,23934257,6818815,0.08,0.16,21811684,9290477.87333333
"CD1E","CD1E",0.05,0.04,0.05,0.08,0.07,0.11,0.0666666666666667
"KRT6C","KRT6C",11191413,0.15,0.53,0.55,2124470,0.32,2219314.09166667
"CLASP2","CLASP2",6469477,4986787,0.05,20807013,0.07,8908666,6861990.52
"HS3ST1","HS3ST1",0.22,0.1,0.13,0.08,0.21,0.12,0.143333333333333
"SLC17A6","SLC17A6",0.73,0.29,0.16,0.08,0.14,0.11,0.251666666666667
"FAM115C","FAM115C",1909285,1137380,17013007,1231147,1284205,1587353,4027062.83333333
"S100A7A","S100A7A",0.03,0.04,0.06,0.08,0.07,0.11,0.065
"FGFR2","FGFR2",3916108,1870675,1754924,3341500,3158911,0.8,2340353.13333333
"FLJ31306","FLJ31306",0.07,6621714,9120230,25934470,53275226,20702185,19275637.5116667
"ZNF847P","ZNF847P",1089048,1098942,4020421,1827544,0.88,2344999,1730159.14666667
"KCNK3","KCNK3",1203285,1742566,1762984,1687007,2960556,0.58,1559399.76333333
"RPUSD4","RPUSD4",7109615,91427882,0.16,0.12,0.26,41783173,23386778.4233333
"AGMAT","AGMAT",3202605,0.08,2361685,49813498,0.12,5100100,10079648.0333333
"PPIE","PPIE",22330708,9301921,4207863,12687561,2180449,12290432,10499822.3333333
"ETNK2","ETNK2",1561322,0.21,0.07,0.08,0.08,0.11,260220.425
"MKLN1","MKLN1",0.15,2352302,0.19,0.18,0.12,0.21,392050.475
"SUSD5","SUSD5",0.03,0.04,0.06,0.08,0.08,0.11,0.0666666666666667
"SRPR","SRPR",26828863,47692114,27381986,29868581,178150015,80592495,65085675.6666667
"TRMT1","TRMT1",3426435,8528525,93672418,7088584,4859807,7867436,20907200.8333333
"IL10RA","IL10RA",8462257,33018961,49663204,59182986,0.47,0.45,25054568.1533333
"TMEM128","TMEM128",0.32,0.1,0.06,29709195,0.08,23649881,8893179.42666667
"FBXO28","FBXO28",0.38,0.04,0.06,0.08,0.31,4920361,820060.311666667
"C19orf55","C19orf55",2426637,1397982,2573635,1825395,1557610,0.61,1630209.935
"HMGN1","HMGN1",29899902,74100710,29253073,77761344,175707483,229182544,102650842.666667
"LOC400960","LOC400960",1083669,0.25,0.16,16613705,32472844,16171166,11056897.4016667
"YAF2","YAF2",0.03,0.04,0.05,0.09,0.09,2288921,381486.883333333
"ZNF789","ZNF789",6835248,3212456,0.05,0.09,0.14,22480723,5421404.54666667
"LOC284112","LOC284112",3494349,7804739,12305562,5734472,347907329,16949555,65699334.3333333
"PCDHB10","PCDHB10",0.03,0.04,0.05,0.09,0.09,0.1,0.0666666666666667
"RAF1","RAF1",17788258,164223562,77859325,383720232,194532857,66734718,150809825.333333
"PYCR2","PYCR2",9435924,0.34,1454816,12884690,0.77,2175524,4325159.185
"KIAA1045","KIAA1045",0.69,1073777,6476408,1057778,0.59,0.32,1434660.76666667
"CREB3L1","CREB3L1",1737200,3186019,2480650,2685981,2665932,0.95,2125963.825
"PASD1","PASD1",0.03,0.04,0.05,0.09,0.09,0.1,0.0666666666666667
"KSR2","KSR2",0.03,0.13,0.09,0.09,0.11,0.1,0.0916666666666667
"CHRDL1","CHRDL1",73916320,59734674,62311110,64417477,100157235,23629640,64027742.6666667
"ADCY10","ADCY10",3339890,3027349,4617241,0.89,2660797,0.29,2274213.03
"PRKY","PRKY",2335161,2201987,7424343,0.09,0.08,22940486,5816996.195
"ZNF598","ZNF598",5343411,18733964,12427394,11113960,101454583,10414163,26581245.8333333
"TF","TF",2110364,0.75,1095631,1754777,3450943,0.7,1401952.74166667
"THAP5","THAP5",0.03,0.04,0.05,0.08,5709975,7457013,2194498.03333333
"UCHL5","UCHL5",0.16,2766364,0.3,7836893,0.49,1324777,1988005.825
"BACH1","BACH1",4611226,1700469,1513181,37314694,0.79,0.17,7523261.82666667
"GPR31","GPR31",2101724,1370964,3395176,7723032,0.44,0.48,2431816.15333333
"ZNF419","ZNF419",0.03,0.19,0.08,0.2,0.11,14787654,2464609.10166667
"LRRTM4","LRRTM4",18370103,0.19,0.25,0.31,0.16,0.1,3061684.00166667
"HFE","HFE",2233539,2052929,1981881,1241868,1748625,0.83,1543140.47166667
"EDN1","EDN1",0.75,1139366,1054317,1143224,1968361,0.25,884211.5
"PAF1","PAF1",101627785,75842934,38549524,323593345,64395766,15875664,103314169.666667
"CACNA1B","CACNA1B",31764654,34279631,45713731,54986894,40327163,10163531,36205934
"UGT3A2","UGT3A2",0.03,0.04,0.06,0.08,0.21,0.1,0.0866666666666667
"FEZ2","FEZ2",46075886,26394311,16751378,20925741,30974444,9957283,25179840.5
"RTP3","RTP3",0.64,0.35,0.32,0.08,1470581,0.45,245097.14
"SART3","SART3",18074516,2375944,2654243,5202076,7375664,0.79,5947073.965
"LUZP1","LUZP1",0.03,0.06,0.13,0.13,0.07,8422978,1403829.73666667
"IFIT2","IFIT2",13539195,10315428,11089438,56078800,9491833,2500372,17169177.6666667
"SAFB2","SAFB2",8153948,32165949,24673229,155485197,23001346,38812869,47048756.3333333
"TRIM10","TRIM10",0.12,1393273,0.29,0.28,0.58,0.13,232212.4
"ATP6V1C1","ATP6V1C1",0.18,0.04,0.05,0.08,0.12,0.13,0.1
"SPAG11B","SPAG11B",4780823,0.11,0.05,0.16,0.19,0.15,796803.943333333
"VWF","VWF",2836348,0.74,1687616,0.54,1778184,0.43,1050358.285
"MGC70870","MGC70870",6887480,1948227,0.05,1069516,0.1,0.11,1650870.54333333
"TRIM2","TRIM2",3595893,1452316,3729139,2566682,1850748,0.79,2199129.79833333
"CCDC74B","CCDC74B",0.03,0.04,0.05,0.08,0.07,0.11,0.0633333333333333
"C21orf66","C21orf66",3415937,0.04,17627788,65940372,0.07,32794631,19963121.3516667
"LOC389458","LOC389458",5601124,3198453,6714790,5073125,22365827,0.8,7158886.63333333
"DNASE1","DNASE1",3019778,7650365,9519891,3880338,4813438,0.76,4813968.46
"KRT77","KRT77",0.91,0.8,0.52,1,0.44,0.24,0.651666666666667
"TXNDC2","TXNDC2",77413419,35604088,25121069,51055442,15425980,6060858,35113476
"ZNF688","ZNF688",8783577,10333751,10807830,8529354,7528925,3345852,8221548.16666667
"TMEM179B","TMEM179B",9179854,1540460,80139769,0.61,11496650,5948807,18050923.435
"LOXL4","LOXL4",4802417,2491464,2787471,2627880,7731831,1256332,3616232.5
"RSPO2","RSPO2",0.03,0.04,0.06,0.08,0.08,0.11,0.0666666666666667
"hCG_2039148","hCG_2039148",0.41,0.96,30690278,0.33,0.5,0.31,5115046.75166667
"SLC15A1","SLC15A1",0.23,0.18,0.52,0.27,0.41,0.15,0.293333333333333
"RAB42","RAB42",0.82,0.59,0.07,0.08,0.09,0.11,0.293333333333333
"ZNF467","ZNF467",0.03,0.04,0.05,0.09,0.09,0.1,0.0666666666666667
"MARVELD3","MARVELD3",0.11,0.04,0.1,0.31,0.11,0.1,0.128333333333333
"GALK2","GALK2",13676170,22316074,25280494,8314554,9531973,11519907,15106528.6666667
"ISCA1","ISCA1",0.26,0.04,0.05,0.09,0.09,8361004,1393500.755
"CNTNAP2","CNTNAP2",0.15,0.22,0.12,0.09,0.52,0.1,0.2
"OR5I1","OR5I1",0.03,0.05,0.05,0.15,0.14,0.1,0.0866666666666667
"FAM170A","FAM170A",0.1,0.18,0.14,0.09,0.16,0.1,0.128333333333333
"OR7C2","OR7C2",0.33,0.16,0.25,0.42,0.48,0.1,0.29
"ZNF254","ZNF254",127401670,167116686,135088063,262857268,391179074,363665105,241217977.666667
"ANKRD34B","ANKRD34B",0.15,0.26,0.26,1110956,0.32,0.1,185159.515
"MACF1","MACF1",12050372,11327490,0.12,0.09,0.13,8845515,5370562.89
"UBE2B","UBE2B",0.16,9098895,12108218,0.52,0.08,5875484,4513766.29333333
"C12orf42","C12orf42",0.15,0.2,0.45,0.84,0.14,0.1,0.313333333333333
"ING5","ING5",0.13,0.05,0.05,0.69,0.08,0.1,0.183333333333333
"POGK","POGK",0.46,0.04,0.3,0.25,77941214,0.1,12990202.525
"KRT80","KRT80",1031945,0.83,1066917,2462787,0.42,0.14,760275.065
"PLK4","PLK4",0.03,6204392,0.05,0.08,0.19,8820507,2504149.89166667
"HIRIP3","HIRIP3",31494109,7616582,10484621,14577955,14003597,15744941,15653634.1666667
"hCG_1643808","hCG_1643808",5994019,0.96,0.44,0.71,0.99,0.31,999003.735
"COX4I2","COX4I2",2599400,3542544,3508148,2398882,2292112,1570073,2651859.83333333
"FGF2","FGF2",0.03,0.04,0.05,0.08,0.08,0.1,0.0633333333333333
"APOD","APOD",0.13,0.13,0.15,0.17,0.26,0.1,0.156666666666667
"TTLL3","TTLL3",1326911,1444817,1453876,1097658,58041272,0.42,10560755.7366667
"FABP3","FABP3",1864806,1043706,1496587,1157924,0.87,0.44,927170.718333333
"GAPDH","GAPDH",110442034,250370112,260871414,792993365,644855968,207799118,377888668.5
"KIAA0999","KIAA0999",3573300,0.17,0.31,0.18,1326417,0.34,816619.666666667
"NAG","NAG",0.27,42826412,0.19,0.18,0.15,4540076,7894414.79833333
"PITPNA","PITPNA",3293931,0.05,0.8,0.08,18940341,3979380,4368942.155
"UTP14C","UTP14C",0.03,0.04,0.05,1428217,0.08,2047854,579345.2
"NDUFV2","NDUFV2",26581932,28788730,163449836,494899922,1502667,90971129,134365702.666667
"ZNF512","ZNF512",0.03,0.04,0.11,0.19,0.1,3697998,616333.078333333
"LCP2","LCP2",3687097,0.3,0.48,6858363,0.55,36994259,7923286.72166667
"SRP9","SRP9",0.89,2840064,0.7,0.2,10663584,19175004,5446442.29833333
"GPAA1","GPAA1",34249748,10484405,26183618,6882609,48775270,2229022,21467445.3333333
"MARCH6","MARCH6",0.29,0.28,0.35,10139544,13841630,3767879,4624842.32
"HIVEP2","HIVEP2",18629198,1008569,91707474,236316366,174144142,53373673,95863237
"UPK1A","UPK1A",2628487,7602196,4092921,6045622,14765102,9900889,7505869.5
"RNF112","RNF112",0.7,0.85,0.74,0.61,1,0.56,0.743333333333333
"DGAT2","DGAT2",0.61,0.38,0.47,0.46,0.52,0.24,0.446666666666667
"C6orf58","C6orf58",0.07,0.04,0.13,0.08,0.08,0.15,0.0916666666666667
"LOC100130078","LOC100130078",9150624,1198653,1188444,2125214,1012144,0.87,2445846.645
"GLRA2","GLRA2",0.03,0.04,0.06,0.08,0.08,0.11,0.0666666666666667
"TRIM29","TRIM29",0.28,0.04,0.12,0.08,0.16,0.11,0.131666666666667
"ATP1A3","ATP1A3",26097590,66264956,54317879,439911541,488873835,143311375,203129529.333333
"VDAC3","VDAC3",5542311,184568101,0.92,318630065,140858255,90765110,123393973.82
"CCDC99","CCDC99",1826949,0.78,3629491,0.43,0.52,8307824,2294044.28833333
"SCYL1","SCYL1",0.68,0.64,6934032,0.67,105051279,0.27,18664218.8766667
"NEK6","NEK6",3913739,2286563,2608501,1745435,2819345,0.79,2228930.63166667
"IL6ST","IL6ST",0.06,0.04,0.1,0.08,0.09,0.12,0.0816666666666667
"GJA3","GJA3",0.12,0.27,0.07,0.7,0.42,0.11,0.281666666666667
"WDR66","WDR66",0.04,0.04,0.05,0.09,0.09,0.1,0.0683333333333333
"CCDC77","CCDC77",0.77,0.82,1348676,6679433,174566235,0.1,30432390.9483333
"MLL","MLL",1139207,0.95,0.79,0.46,8020686,2055880,1869295.86666667
"FANCA","FANCA",0.48,25155608,0.05,0.09,0.09,21271841,7737908.285
"C6orf35","C6orf35",0.03,0.04,0.11,0.17,0.09,0.1,0.09
"SLC7A2","SLC7A2",0.03,0.05,0.14,0.09,0.1,0.1,0.085
"CCDC113","CCDC113",0.03,0.04,0.05,0.09,0.09,0.1,0.0666666666666667
"PSTPIP1","PSTPIP1",44776957,50074098,35081935,46651698,32369904,4822868,35629576.6666667
"TSSC1","TSSC1",10882756,83165837,10313414,89344252,8242999,21840686,37298324
"ODZ4","ODZ4",0.03,0.04,0.05,0.09,0.12,0.18,0.085
"RBM22","RBM22",9308177,1982893,16473930,18203584,1807669,49533033,16218214.3333333
"SCAMP1","SCAMP1",0.12,0.21,0.11,0.09,0.29,3065608,510934.803333333
"PKN2","PKN2",0.69,1756614,3507692,64080242,0.08,1312010,11776093.1283333
"LRRC40","LRRC40",0.03,1452067,0.05,0.08,0.08,0.1,242011.223333333
"PPP6C","PPP6C",12404028,55051896,5828795,223907483,49546740,35036683,63629270.8333333
"ZNF131","ZNF131",0.83,0.11,11362194,0.19,0.32,0.1,1893699.25833333
"GJB1","GJB1",1584865,1772344,1436319,4522363,2744597,0.54,2010081.42333333
"NETO1","NETO1",0.03,0.11,0.05,0.21,0.16,0.14,0.116666666666667
"LOC100133627","LOC100133627",22999069,42856036,57578025,82267467,66519097,78464123,58447302.8333333
"HRC","HRC",7330499,7493712,7596327,8519349,6814813,1246645,6500224.16666667
"RAB12","RAB12",0.08,1967573,0.09,0.11,29249982,0.11,5202925.89833333
"PCGF3","PCGF3",7526524,4166296,2027225,8720702,1371606,6532017,5057395
"GABARAPL2","GABARAPL2",1904086,2524879,3380688,2912654,5048901,26412640,7030641.33333333
"SPC25","SPC25",5401321,9426331,5863562,22574385,0.14,2429824,7615903.85666667
"THAP9","THAP9",0.03,0.04,0.05,0.08,0.08,0.1,0.0633333333333333
"GTF2E1","GTF2E1",0.03,0.04,0.05,0.08,0.1,0.1,0.0666666666666667
"IGKC","IGKC",818694010,1776984869,2401045943,3704090056,3774675790,3206433120,2613653964.66667
"EXO1","EXO1",3395214,8313621,4333430,0.81,1388264,4304809,3622556.46833333
"NELL1","NELL1",0.25,0.25,0.62,0.08,0.08,0.18,0.243333333333333
"RAD54B","RAD54B",0.19,0.04,0.13,0.18,0.09,0.1,0.121666666666667
"ZFHX4","ZFHX4",0.03,0.04,0.05,0.08,0.09,0.11,0.0666666666666667
"PPP1CA","PPP1CA",36525926,27183976,64390312,406257303,584430612,58645254,196238897.166667
"SECTM1","SECTM1",2149879,5166534,4792307,5669485,4529952,1058527,3894447.33333333
"TMEM107","TMEM107",3450593,7959317,9748430,152049057,64063649,27770313,44173559.8333333
"ZNF195","ZNF195",10937816,1942790,1784476,74043666,44366714,31693632,27461515.6666667
"C13orf39","C13orf39",0.03,0.04,0.05,0.08,0.07,0.11,0.0633333333333333
"EDN3","EDN3",0.03,3252545,0.05,0.08,0.07,0.15,542090.896666667
"TTR","TTR",1305771,1201034,0.42,0.17,0.49,0.11,417801.031666667
"RSU1","RSU1",0.03,0.04,0.05,0.08,0.07,0.11,0.0633333333333333
"ABCB7","ABCB7",8668680,35476199,55676531,127771601,45509869,29747687,50475094.5
"WDR24","WDR24",1434574,1236472,0.87,2503514,1457877,0.55,1105406.40333333
"POF1B","POF1B",2557642,0.3,0.35,0.87,0.44,0.55,426274.085
"SMAP2","SMAP2",8189807,19898028,0.55,1923384,18453150,37184532,14274816.925
"TMEM222","TMEM222",13096842,12969267,18210358,31313132,40683518,14228498,21750269.1666667
"PSG2","PSG2",0.08,0.07,0.09,0.23,0.26,0.77,0.25
"CDKN1B","CDKN1B",0.03,0.04,0.06,0.08,0.08,0.11,0.0666666666666667
"NOXO1","NOXO1",42682483,43754679,63719769,40440920,34603007,4246428,38241214.3333333
"LOC100130892","LOC100130892",356271577,538800859,745136817,971681986,1177106806,909649221,783107877.666667
"WNT9B","WNT9B",1300333,0.93,1335894,0.73,0.73,0.4,439371.631666667
"SLC4A3","SLC4A3",0.96,1299140,2470113,1842154,6006289,0.66,1936282.93666667
"SPATA9","SPATA9",0.31,0.74,1449381,0.7,0.34,0.12,241563.868333333
"MYLIP","MYLIP",0.1,4530474,13938118,0.08,9801819,1382119,4942088.36333333
"STON2","STON2",0.37,0.73,0.68,0.58,1013866,2481482,582558.393333333
"FCN1","FCN1",88577504,54845471,46988591,30826876,52384737,7445504,46844780.5
"LOC220729","LOC220729",39935410,48264817,70268680,0.83,389902946,235707207,130679843.471667
"AASDH","AASDH",0.03,0.55,0.06,0.08,0.12,0.44,0.213333333333333
"RASL11B","RASL11B",0.64,0.66,0.83,0.3,0.89,0.62,0.656666666666667
"DECR2","DECR2",0.99,1255546,3275700,2543493,1154321,0.3,1371510.215
"NBPF22P","NBPF22P",0.3,0.05,0.05,0.12,0.09,7835261,1305876.935
"PLCG1","PLCG1",0.39,27575162,0.2,0.37,0.14,0.24,4595860.55666667
"RET","RET",0.04,0.04,0.05,0.09,0.09,0.1,0.0683333333333333
