"","Females_AD1_Mean","Females_control1_Mean","males_AD1_Mean","males_control1_Mean","FC_fem_ctrl_AD","FC_male_ctrl_AD"
"ACCN5",6.49718073958498,6.47357936618154,6.50097096001497,6.48600543512687,1.00364579965247,1.00230735620526
"ACCS",7.64068636476445,7.39145114413368,7.59805476193518,7.41186832016987,1.03371938957191,1.0251200417658
"ACCSL",6.50583815406808,6.51606998965332,6.4847553432564,6.50238471838263,0.998429753578232,0.997288783132689
"ACD",8.09491451611297,8.12766188452971,8.11368644449343,8.06110231429368,0.995970874664573,1.00652319349756
"ACE",6.46364376513884,6.46966523760445,6.46637516209134,6.46275921479143,0.999069276037559,1.00055950518652
"ACE2",6.67137272785809,6.90812409691154,6.65878713841904,6.74764894177566,0.965728558761806,0.98683070146011
"ACER1",6.48805473521364,6.47102348529252,6.48604000034998,6.4983487535726,1.00263192522169,0.998105864475824
"ACER2",6.69240059254143,6.68566129141466,6.68860997162688,6.69902265965577,1.00100802311589,0.998445640721355
"ACER3",7.222099164645,7.15617726817343,7.19074241865829,7.14100616493949,1.00921188701749,1.0069648803782
"ACHE",6.67769503093978,6.85601786806739,6.70810602429299,6.84223625144495,0.973990319080386,0.98039672670998
"ACIN1",8.25315498061181,8.34515260828792,8.24899171510714,8.28975795181564,0.988975920274395,0.995082336909539
"ACLY",9.82509155094188,9.98328918849372,9.90439578812862,10.0774473658673,0.984153755884967,0.982827836112064
"ACMSD",6.45292086272273,6.44249636784188,6.49195561939034,6.4379742935705,1.00161808315995,1.00838483090461
"ACN9",7.54887890188591,7.75968680837474,7.65836720348368,7.83707884944091,0.972832936213185,0.977196650768675
"ACO1",9.94183450389286,9.81421483073464,9.89794953572058,9.85640724065787,1.01300355406513,1.00421475026837
"ACO2",8.95819038540196,9.39664099187758,9.10484199019605,9.24979509301703,0.953339644788535,0.984329047145011
"ACOT1",6.90822648425732,7.16083533073889,7.01494834818983,7.12549998974085,0.964723550421944,0.984485068877947
"ACOT11",7.11559580461484,6.92441370578309,7.05436555038029,6.90328796550497,1.02760986084238,1.0218848736472
"ACOT12",6.52919059456773,6.53842697484303,6.50563206204263,6.54644869541269,0.998587369666919,0.993765072443222
"ACOT2",6.48403844705675,6.51829897186661,6.51527714341559,6.53776075414724,0.994743947008609,0.996560961531457
"ACOT6",6.54316254863752,6.57723304880316,6.51554513669307,6.55588533985024,0.994819934170975,0.993846719235316
"ACOT7",8.17536582677352,8.55519320359544,8.2460251801523,8.56906398140002,0.955602711968878,0.962301740079324
"ACOT8",6.62137689745095,6.76609183013887,6.6816405154776,6.79266429878434,0.978611739787021,0.983655340758322
"ACOT9",7.2529665242043,7.07808157334343,7.21348649495497,7.09065968547887,1.02470795921871,1.01732233881251
"ACOX1",6.45893859836034,6.46776486775461,6.47424746698487,6.46625297997665,0.998635344732727,1.00123633996891
"ACOX3",7.39633297955611,7.2291011582856,7.36469511169709,7.35470712550445,1.02313314167403,1.00135803996301
"ACOXL",6.44959189832918,6.44245008333418,6.43926865121715,6.44214217188166,1.00110855573619,0.999553949511227
